monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_core_0_percent,cpu_core_1_percent,cpu_core_2_percent,cpu_core_3_percent,cpu_core_4_percent,cpu_core_5_percent
1438403230397,1779177461,938112537,0.000,0.000,100.000,0.000,0.000,0.000
1438423230054,1779177461,958112194,0.000,0.000,0.000,50.000,0.000,50.000
1438443232879,1779177461,978115243,0.000,0.000,50.000,0.000,0.000,50.000
1438463230391,1779177461,998112436,0.000,50.000,50.000,100.000,50.000,50.000
1438483238592,1779177462,18120988,0.000,0.000,50.000,0.000,50.000,50.000
1438503231048,1779177462,38112996,0.000,0.000,0.000,0.000,0.000,0.000
1438523230512,1779177462,58112812,50.000,0.000,100.000,0.000,0.000,100.000
1438543235256,1779177462,78117300,100.000,0.000,100.000,100.000,100.000,0.000
1438563375331,1779177462,98257695,0.000,50.000,100.000,0.000,100.000,0.000
1438583231401,1779177462,118113413,0.000,0.000,0.000,50.000,50.000,0.000
1438603231153,1779177462,138112749,0.000,0.000,100.000,50.000,0.000,0.000
1438623229849,1779177462,158112597,0.000,0.000,50.000,0.000,0.000,50.000
1438643229505,1779177462,178111197,50.000,100.000,0.000,0.000,0.000,50.000
1438663230473,1779177462,198112453,50.000,0.000,50.000,0.000,0.000,0.000
1438683229745,1779177462,218112237,0.000,100.000,50.000,50.000,100.000,100.000
1438703236697,1779177462,238118678,50.000,0.000,100.000,100.000,50.000,66.667
1438723233378,1779177462,258115550,0.000,50.000,100.000,0.000,50.000,100.000
1438743235658,1779177462,278117574,0.000,50.000,0.000,0.000,100.000,50.000
1438763231058,1779177462,298112782,0.000,50.000,50.000,0.000,0.000,0.000
1438783230138,1779177462,318112118,0.000,0.000,50.000,0.000,0.000,0.000
1438803231938,1779177462,338113790,100.000,0.000,100.000,0.000,50.000,0.000
1438823231594,1779177462,358113670,0.000,0.000,100.000,50.000,0.000,0.000
1438843231058,1779177462,378113198,0.000,0.000,50.000,0.000,50.000,0.000
1438863235291,1779177462,398117463,0.000,50.000,50.000,100.000,0.000,50.000
1438883230883,1779177462,418112831,50.000,50.000,100.000,50.000,0.000,50.000
1438903233067,1779177462,438115527,50.000,0.000,50.000,0.000,100.000,0.000
1438923231603,1779177462,458113583,100.000,0.000,50.000,0.000,0.000,0.000
1438943557121,1779177462,478439038,50.000,0.000,100.000,50.000,0.000,0.000
1438963236227,1779177462,498118207,0.000,0.000,50.000,0.000,0.000,0.000
1438983233451,1779177462,518115431,0.000,50.000,100.000,0.000,50.000,100.000
1439003230579,1779177462,538112272,100.000,50.000,100.000,0.000,0.000,0.000
1439023240892,1779177462,558122840,50.000,0.000,50.000,0.000,0.000,0.000
1439043238116,1779177462,578120032,50.000,0.000,50.000,100.000,0.000,0.000
