# x_m, y_m, w_tr_right_m, w_tr_left_m
-7.589875, 1.516894, 1.0611, 1.0982
-7.509941, 1.516115, 1.0409, 1.0560
-7.430004, 1.516238, 1.0211, 1.0178
-7.350075, 1.517341, 1.0022, 0.9838
-7.270166, 1.519490, 0.9844, 0.9543
-7.190295, 1.522733, 0.9683, 0.9304
-7.110478, 1.527107, 0.9544, 0.9116
-7.030732, 1.532640, 0.9433, 0.8976
-6.951077, 1.539347, 0.9351, 0.8893
-6.871531, 1.547241, 0.9297, 0.8851
-6.792112, 1.556325, 0.9271, 0.8845
-6.712838, 1.566599, 0.9269, 0.8876
-6.633726, 1.578060, 0.9285, 0.8930
-6.554795, 1.590700, 0.9311, 0.9003
-6.476060, 1.604511, 0.9347, 0.9098
-6.397537, 1.619480, 0.9395, 0.9212
-6.319241, 1.635595, 0.9456, 0.9345
-6.241186, 1.652839, 0.9532, 0.9497
-6.163385, 1.671194, 0.9625, 0.9673
-6.085849, 1.690639, 0.9736, 0.9868
-6.008588, 1.711148, 0.9859, 1.0080
-5.931608, 1.732693, 0.9987, 1.0307
-5.854917, 1.755239, 1.0118, 1.0545
-5.778514, 1.778745, 1.0255, 1.0790
-5.702398, 1.803166, 1.0405, 1.1039
-5.626564, 1.828448, 1.0578, 1.1290
-5.551001, 1.854528, 1.0780, 1.1538
-5.475693, 1.881337, 1.1010, 1.1782
-5.400620, 1.908796, 1.1257, 1.2021
-5.325754, 1.936816, 1.1502, 1.2253
-5.251063, 1.965298, 1.1736, 1.2481
-5.176509, 1.994137, 1.1957, 1.2706
-5.102048, 2.023216, 1.2170, 1.2933
-5.027632, 2.052408, 1.2377, 1.3170
-4.953208, 2.081582, 1.2574, 1.3423
-4.878721, 2.110594, 1.2756, 1.3701
-4.804115, 2.139299, 1.2921, 1.4004
-4.729333, 2.167542, 1.3068, 1.4337
-4.654321, 2.195168, 1.3198, 1.4696
-4.579029, 2.222020, 1.3310, 1.5084
-4.503410, 2.247939, 1.3406, 1.5506
-4.427429, 2.272773, 1.3486, 1.5962
-4.351055, 2.296374, 1.3550, 1.6446
-4.274273, 2.318607, 1.3600, 1.6940
-4.197074, 2.339350, 1.3637, 1.7413
-4.119465, 2.358498, 1.3662, 1.7822
-4.041461, 2.375968, 1.3676, 1.8136
-3.963088, 2.391702, 1.3679, 1.8360
