# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
20.449016,4.434302,-0.565678,-0.2383729,-0.0086311,0.0000000,0.0000000,0.977418,0.940484
20.528899,4.511920,-0.584566,-0.2390302,-0.0078254,0.0000000,0.0000000,0.978621,0.939021
20.608782,4.589525,-0.603503,-0.2396221,-0.0069946,0.0000000,0.0000000,0.979136,0.938943
20.688665,4.667121,-0.622483,-0.2401480,-0.0061725,0.0000000,0.0000000,0.979956,0.940133
20.768547,4.744707,-0.641501,-0.2406099,-0.0053922,0.0000000,0.0000000,0.980641,0.941537
20.848430,4.822285,-0.660552,-0.2410126,-0.0046883,0.0000000,0.0000000,0.982663,0.944862
20.928313,4.899855,-0.679633,-0.2413634,-0.0040959,0.0000000,0.0000000,0.986954,0.949403
21.008196,4.977419,-0.698740,-0.2416730,-0.0036541,0.0000000,0.0000000,0.990360,0.953156
21.088079,5.054978,-0.717869,-0.2419547,-0.0033987,0.0000000,0.0000000,0.991191,0.957050
21.167962,5.132531,-0.737019,-0.2422249,-0.0033672,0.0000000,0.0000000,0.991985,0.961635
