idx,iterations,solve_time_us
619,6,346.9
620,50,1109.5
621,50,1095.8
622,50,1098.8
623,7,353.3
624,5,318.8
625,6,342.8
626,6,339.2
627,6,337.0
628,6,343.2
629,6,338.0
630,7,379.7
631,6,351.9
632,6,343.3
633,6,439.0
634,2,407.3
635,6,430.4
636,6,357.0
637,6,349.4
638,6,589.2
639,3,289.8
640,6,340.5
641,6,331.4
642,6,338.1
643,3,357.3
644,6,349.3
645,6,342.3
646,6,337.9
647,2,276.1
648,3,277.9
649,6,355.4
650,2,266.4
651,6,338.1
652,6,337.8
653,6,338.9
654,6,342.3
655,6,338.7
656,6,356.1
657,3,388.8
658,6,346.2
659,6,336.5
660,6,332.4
661,6,334.5
662,3,362.4
663,2,255.6
664,2,247.3
665,2,254.3
666,2,253.0
667,2,269.9
668,2,307.7
669,2,294.7
670,2,305.7
671,2,287.2
672,2,298.2
673,2,292.8
674,3,309.5
675,2,273.0
676,2,257.1
677,2,255.8
678,2,250.4
679,2,253.1
680,2,261.6
681,2,264.2
682,2,256.7
683,2,257.7
684,2,430.6
685,2,276.9
686,2,369.5
687,2,253.7
688,2,250.3
689,2,248.1
690,2,281.9
691,2,257.0
692,2,257.3
693,2,255.7
694,2,249.3
695,2,247.6
696,2,252.8
697,2,260.9
698,2,252.8
699,2,249.3
700,2,252.0
701,2,255.2
702,2,254.5
703,2,251.0
704,2,254.5
705,2,260.9
706,2,268.8
707,2,362.2
708,2,267.6
709,2,317.1
710,2,283.8
711,2,256.1
712,2,247.3
713,2,251.0
714,2,261.4
715,2,424.7
716,2,262.9
717,2,258.6
718,2,268.7
719,2,248.9
